signal,season,matches,n_pos,n_neg,auc_9_5,pearson_corr
SHOTS,2019/2020,351,192,159,0.504832,0.086568
SHOTS,2020/2021,370,204,166,0.498051,0.056654
SHOTS,2021/2022,370,218,152,0.455471,-0.062212
SHOTS,2022/2023,370,198,172,0.470137,0.023179
SHOTS,2023/2024,370,228,142,0.524756,0.183394
SHOTS,2024/2025,370,214,156,0.543075,0.102563
SHOTS,2025/2026,380,213,167,0.492663,0.056097
SHOTS_ON_TARGET,2019/2020,351,192,159,0.526500,0.042107
SHOTS_ON_TARGET,2020/2021,370,204,166,0.529618,0.051401
SHOTS_ON_TARGET,2021/2022,370,218,152,0.462624,-0.025103
SHOTS_ON_TARGET,2022/2023,370,198,172,0.490060,0.022420
SHOTS_ON_TARGET,2023/2024,370,228,142,0.514795,0.137596
SHOTS_ON_TARGET,2024/2025,370,214,156,0.561302,0.116005
SHOTS_ON_TARGET,2025/2026,380,213,167,0.505552,0.057188
