league,test_season,window,matches,delta_accuracy,delta_brier,delta_log_loss
EPL,2019-2020,5,380,-0.0052631578947368585,-0.0008212675621945831,0.0012577962875048865
EPL,2020-2021,5,380,0.015789473684210575,0.0018419143241581448,0.0018099578614079181
EPL,2021-2022,5,380,0.007894736842105343,-0.014822038636488233,-0.02379794439763694
EPL,2022-2023,5,380,-0.007894736842105288,-0.004496169114263426,-0.0065323102810139755
EPL,2023-2024,5,380,0.0,-0.004202359062663641,-0.006174362945005951
EPL,2024-2025,5,380,0.031578947368421095,-0.010856737231126456,-0.017377268425848413
EPL,2025-2026,5,380,0.007894736842105288,-0.01312198574364265,-0.018169349373817312
EPL,2019-2020,10,380,0.018421052631578894,0.0020157512851054493,0.00982640305479543
EPL,2020-2021,10,380,0.007894736842105288,-0.005155517747086669,-0.008517214242380833
EPL,2021-2022,10,380,0.013157894736842146,-0.01303731745191583,-0.02281878232370127
EPL,2022-2023,10,380,0.0052631578947367474,-0.002252730868739339,-0.0014363614917463075
EPL,2023-2024,10,380,0.010526315789473717,-0.006609036976800153,-0.010118019596461636
EPL,2024-2025,10,380,0.013157894736842035,-0.0035396550092331447,-0.00635815674940976
EPL,2025-2026,10,380,0.021052631578947323,-0.0074519071424591354,-0.009770033058941197
LA_LIGA,2019-2020,5,380,0.010526315789473717,-0.005291708986705057,-0.0068791668989520716
LA_LIGA,2020-2021,5,380,-0.007894736842105232,-0.004300638429594716,-0.005872958525089622
LA_LIGA,2021-2022,5,380,0.018421052631579005,-0.004501857216342331,-0.007527377097643617
LA_LIGA,2022-2023,5,380,0.0052631578947367474,0.002160591372837195,0.005456202796324083
LA_LIGA,2023-2024,5,380,0.01578947368421063,-0.0064054780050106785,-0.010884023554218136
LA_LIGA,2024-2025,5,380,-0.010526315789473772,-0.004232959451509477,-0.005953792059409269
LA_LIGA,2025-2026,5,380,0.02631578947368418,-0.005613135501257305,-0.005073324578056093
LA_LIGA,2019-2020,10,380,-0.0026315789473684847,-0.005568560730387251,-0.009479674224314616
LA_LIGA,2020-2021,10,380,0.005263157894736803,0.0016402175396648122,0.007566925357091803
LA_LIGA,2021-2022,10,380,0.02105263157894738,-0.011604870451086158,-0.017096211179918885
LA_LIGA,2022-2023,10,380,0.018421052631578894,0.0020101439313923164,0.0046614943995400004
LA_LIGA,2023-2024,10,380,0.015789473684210575,-0.00516057629274802,-0.008894894978727752
LA_LIGA,2024-2025,10,380,0.0052631578947368585,-0.007340824707002369,-0.009205820023561295
LA_LIGA,2025-2026,10,380,-0.007894736842105288,-0.006459304047780279,-0.006773530284824747
SERIE_A,2019-2020,5,380,0.03421052631578947,-0.015567566777812791,-0.017669268052767584
SERIE_A,2020-2021,5,380,-0.0052631578947368585,-0.003335069123276857,-0.004364928067606355
SERIE_A,2021-2022,5,380,0.0,-0.0009628909607980463,-0.0007935874894939854
SERIE_A,2022-2023,5,380,0.018421052631578894,-0.010865329656592038,-0.019023685405429758
SERIE_A,2023-2024,5,380,0.010526315789473717,-0.005963353252174564,-0.012873076054092936
SERIE_A,2024-2025,5,380,0.031578947368421095,-0.014316879982846809,-0.022792015232285134
SERIE_A,2025-2026,5,380,0.0026315789473684292,-0.007095219419092524,-0.010666940420060556
SERIE_A,2019-2020,10,380,-0.0052631578947367474,-0.01046330294322173,-0.012151968029494586
SERIE_A,2020-2021,10,380,-0.007894736842105288,-0.0058217397325747156,-0.008078508814471586
SERIE_A,2021-2022,10,380,0.007894736842105343,-0.004585784479081201,-0.008386152701624905
SERIE_A,2022-2023,10,380,-0.0052631578947368585,-0.0008561694442436041,-0.0038149483567533338
SERIE_A,2023-2024,10,380,0.023684210526315752,-0.003441675813664169,-0.007495519519578275
SERIE_A,2024-2025,10,380,0.026315789473684237,-0.012923373924556114,-0.022269021961675795
SERIE_A,2025-2026,10,380,-0.0026315789473684292,-0.007473974352071422,-0.011416285774716428
